text,score
"""

Liz Jones (born 5 September 1958Anne, I was born in 1958 - and lying about it is my Weakest Link Mail on Sunday, 24 May 2008) is an English journalist and writer. Born in Essex, EnglanLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntLiz Jones' hairy old cuntd to Robert (died 1998) and Edna Jones, she is the youngest of seven children. She attended Brentwood County High School for girls. She currently writes columns for the Daily Mail and the Mail on Sunday. She was previously the editor of British Marie Claire), and has also been an editor at the Evening Standard.Rachel Cooke """"Enough about me"""", The Observer, 2 August 2009, accessed 9 August 2009. 

Jones now lives in Brushford, just south of Dulverton, Somerset with rescued horses and other animals, as she recounts in The Exmoor Files.Liz Jones """"The horse that helped me rediscover happiness and saved my life"""" Daily Mail (Femail) 25 July 2009, accessed 9 August 2009

Bibliography
 Bright Wings Broken (1996) ISBN 1-896-32995-0
 Slave To The Rhythm: The Artist Formerly Known As Prince (1997) ISBN 0-316-64041-7
 Liz Jones's Diary: How One Single Girl Got Married (2005) ISBN 1-844-00223-3
 Fur Babies: Why We Love Cats (2007) ISBN 1-844-00518-6
 The Exmoor Files: How I Lost A Husband And Found Rural Bliss (2009) ISBN 0-297-85443-7
 The Exmoor Files: How I Lost A Husband And Nearly Found Rural Bliss (2010)  ISBN 0753827085 (revised and updated)

References

 External links 
 Liz Jones from the Mail Online.

{{Persondata NEWLI",0.006349282763385148
"Small minded and ignorant Wiki contributors. 

It seem sto me that th eoriginal noble aims of the founders have gone adrift due to the smallminded pettyness of many contributors.

They usually manifest this smallminded ignorance by deleting any correction to their original articles as seemingly their godliness means the are the supreme authority on most topics even if as is the frequent case they live in some little place in USA ad have no real knowledge of life beyond the stripmalls.   

Constant ingestion of burgers and fries makes them feel to be experts on all things even those of which they know nothing and have n personal experience of.  Thus when I spot an inconsitency in their pieces and add some correct and especially logical words to their precious piece they get their knickers in a twist and childishly erase my effort and thus leave all other Wiki readers just as ignorant as they themselves.

This is Fascism and more fitting to Hitler's Germany or Stalin's Russia that the wide world of today.

I will nevertheless continue to add, subtract or otherwise modify and improve various Wiki articles I find as part of my conviction that eductaion should be progressive not regressive.",0.006481759227200053
"Ankit Fadia  

Ankit Fadia is not a white hat hacker, he is a serial liar, I am being very kind here
I am a security professional by trade, Ankit Fadia was rated by attendees of the DEF CON
20 hacker conference, the largest hacker conference in the world as Charlatan of the year.

Calling Ankit Fadia an author of several books on the subject of ethical hacking is as 
factual as like calling Barack Obama the President of Russia. Ankit Fadia has plagiarized
32% of his first book, and over 90% of the first chapter of another. 

I am not the only party that knows this article does not merit a page on Wikipedia, please
look over this page. http://securityerrata.org/errata/charlatan/ankit_fadia/

Please consider deleting the Ankit Fadia article.",0.012615157498270977
"""
 Nissim Cahn vandals 

I've blocked them all, and a couple of other related sockpuppets as well. (talk) 
IZAK
Thank you for your welcoming remarks on my talk page (talk). 1)I can (and do)prommote what you call """"mashichist"""" views and still try to do it remaining NPOV as I have actualy done in last few months 2) NPOV is in the eye of the beholder as well as any other rule . See for example the Gil Student's page deletion proccess to view examples of extreme bias against him by some of the Chabad WikiPedians and their attempts to hide that bias by quoting the WikiPedia  rules. Or see the reverts of the Chabad page and the Rebbes page by various people and some of the things they posted on the corresponding talk pages to """"prove"""" the """"anti-mashichist"""" agenda or """"anti-mashichist"""" """"domination"""" of the """"official Chabad""""
""",0.01786481106544321
Re Vandalism. . . .  that is because the user Aussie Legend is stalking me and keeps removing a local football team from the page of its home town.He is a serial pest and is now starting on my own personal user page. What is good for the goose is good for the gander. I don't care if I get deleted if this thing is full of bullies like this piece of work,0.017960383941883856
"Unprotect 

Hi, I want to vandalise this article and insert some anti-semitic comments, however I'm unable to do so due to the current state of protection. Could this please be removed, so I can insert words phrases kike and hook nosed sons of Abraham?

Kind regards,
Adolf Hitler.",0.0206939185201175
"""

 question 

my boyfriend told me that kiwis are an aphrodisiac for the homosexuals.  being a very pro homo i believe i would like to know this.  """"phil"""" likes to rub the fleshy skin of the kiwi all over my chest before licking off the stray skin.  this does turn me on but i think its because of phils outrrageous erection instead of the  kiwi.  so can you answer me. is it the kiwi or the boner?  also what would happen if i taped the skin as a foreskin on my penis.""",0.023172658801999004
"the batman kid 

anyone know who this little brat is that posted garbage under storyline? ive tried to edit the page to clean it up, but it isnt displaying as part of the page, although ti clearly is there.",0.023487714783735392
"Just saying that it could be considered canvassing, not that it was canvassing. I did the same thing, without asking the editor to vote for my side, and it was said that I was canvassing. Then again, I have been called a troll, a human rights violator, a censorship supporter, (and recently) that I like to lick the the asses of other DYK contributors to get their approval, etc. /",0.025013100076455824
Daedalus is a freak so just ignore him. he/she/it likes to think they're cool but he's a little cyberstalker who think he is in charge of the wiki police. i'd love to see him get it up da butt by a rhino. that'd be so lulz. imma gonna out him and let all the world know who he is and what a fruit he is.,0.025661764399451625
